id_circuns,id_diputado,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
circuns_2,circuns_2_4,PAN,-100.093645,24.988399,0.412662726,36,0.333851159,0.242557065,-99.75979384,25.23095606
circuns_2,circuns_2_5,PAN,-100.093645,24.988399,1.031656816,45,0.72949153,0.72949153,-99.36415347,25.71789053
circuns_2,circuns_2_6,PAN,-100.093645,24.988399,0.825325453,54,0.485114129,0.667702317,-99.60853087,25.65610132
circuns_2,circuns_2_7,PAN,-100.093645,24.988399,0.618994089,63,0.281017436,0.551527772,-99.81262756,25.53992677
circuns_2,circuns_2_8,PAN,-100.093645,24.988399,0.412662726,72,0.127519795,0.392465575,-99.9661252,25.38086457
circuns_2,circuns_2_9,PAN,-100.093645,24.988399,1.031656816,81,0.161386682,1.018955408,-99.93225832,26.00735441
circuns_2,circuns_2_10,PAN,-100.093645,24.988399,0.825325453,90,5.06E-17,0.825325453,-100.093645,25.81372445
circuns_2,circuns_2_11,PAN,-100.093645,24.988399,0.618994089,99,-0.096832009,0.611373245,-100.190477,25.59977225
circuns_2,circuns_2_12,PRI,-100.093645,24.988399,0.412662726,108,-0.127519795,0.392465575,-100.2211648,25.38086457
circuns_2,circuns_2_13,PRI,-100.093645,24.988399,1.031656816,117,-0.468362393,0.919212954,-100.5620074,25.90761195
circuns_2,circuns_2_14,PRI,-100.093645,24.988399,0.825325453,126,-0.485114129,0.667702317,-100.5787591,25.65610132
circuns_2,circuns_2_15,PRI,-100.093645,24.988399,0.618994089,135,-0.437694918,0.437694918,-100.5313399,25.42609392
circuns_2,circuns_2_16,PRI,-100.093645,24.988399,0.412662726,144,-0.333851159,0.242557065,-100.4274962,25.23095606
circuns_2,circuns_2_17,PRI,-100.093645,24.988399,1.031656816,153,-0.919212954,0.468362393,-101.012858,25.45676139
circuns_2,circuns_2_18,PT,-100.093645,24.988399,0.825325453,162,-0.78493115,0.255039591,-100.8785761,25.24343859
circuns_2,circuns_2_19,PT,-100.093645,24.988399,0.618994089,171,-0.611373245,0.096832009,-100.7050182,25.08523101
circuns_2,circuns_2_20,PT,-100.093645,24.988399,0.412662726,180,-0.412662726,5.06E-17,-100.5063077,24.988399
circuns_2,circuns_2_21,PVEM,-100.093645,24.988399,1.031656816,189,-1.018955408,-0.161386682,-101.1126004,24.82701232
circuns_2,circuns_2_22,PVEM,-100.093645,24.988399,0.825325453,198,-0.78493115,-0.255039591,-100.8785761,24.73335941
circuns_2,circuns_2_23,PVEM,-100.093645,24.988399,0.618994089,207,-0.551527772,-0.281017436,-100.6451728,24.70738156
circuns_2,circuns_2_24,PVEM,-100.093645,24.988399,0.412662726,216,-0.333851159,-0.242557065,-100.4274962,24.74584194
circuns_2,circuns_2_25,MC,-100.093645,24.988399,1.031656816,225,-0.72949153,-0.72949153,-100.8231365,24.25890747
circuns_2,circuns_2_26,MC,-100.093645,24.988399,0.825325453,234,-0.485114129,-0.667702317,-100.5787591,24.32069668
circuns_2,circuns_2_27,MC,-100.093645,24.988399,0.618994089,243,-0.281017436,-0.551527772,-100.3746624,24.43687123
