id_estado,id_distrito,id_circuns,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
8,8,1,PRI,-106.4689395,28.80853805,0.220595258,320,0.168985771,-0.141795898,-106.2999537,28.66674215
8,9,1,PRI,-106.4689395,28.80853805,0.441190516,360,0.441190516,-1.08E-16,-106.027749,28.80853805
9,1,4,MORENA,-95.586199,20.752447,0.586878077,16.36363636,0.563105392,0.165342661,-95.02309361,20.91778966
9,2,4,PT,-95.586199,20.752447,0.391252052,32.72727273,0.329142171,0.211526829,-95.25705683,20.96397383
9,3,4,MORENA,-95.586199,20.752447,0.195626026,49.09090909,0.128107803,0.147844286,-95.4580912,20.90029129
9,4,4,MORENA,-95.586199,20.752447,0.586878077,65.45454545,0.243797964,0.533843077,-95.34240104,21.28629008
9,5,4,MORENA,-95.586199,20.752447,0.391252052,81.81818182,0.055680972,0.38726967,-95.53051803,21.13971667
9,6,4,MORENA,-95.586199,20.752447,0.195626026,98.18181818,-0.027840486,0.193634835,-95.61403949,20.94608183
9,7,4,MORENA,-95.586199,20.752447,0.586878077,114.5454545,-0.243797964,0.533843077,-95.82999696,21.28629008
9,8,4,PVEM,-95.586199,20.752447,0.391252052,130.9090909,-0.256215606,0.295688572,-95.84241461,21.04813557
9,9,4,MORENA,-95.586199,20.752447,0.586878077,147.2727273,-0.493713256,0.317290244,-96.07991226,21.06973724
9,10,4,PAN,-95.586199,20.752447,0.391252052,163.6363636,-0.375403594,0.110228441,-95.96160259,20.86267544
9,11,4,MORENA,-95.586199,20.752447,0.195626026,180,-0.195626026,-1.50E-16,-95.78182503,20.752447
9,12,4,PRD,-95.586199,20.752447,0.586878077,196.3636364,-0.563105392,-0.165342661,-96.14930439,20.58710434
9,13,4,MORENA,-95.586199,20.752447,0.391252052,212.7272727,-0.329142171,-0.211526829,-95.91534117,20.54092017
9,14,4,MORENA,-95.586199,20.752447,0.195626026,229.0909091,-0.128107803,-0.147844286,-95.7143068,20.60460271
9,15,4,PAN,-95.586199,20.752447,0.586878077,245.4545455,-0.243797964,-0.533843077,-95.82999696,20.21860392
9,16,4,MORENA,-95.586199,20.752447,0.391252052,261.8181818,-0.055680972,-0.38726967,-95.64187997,20.36517733
9,17,4,PVEM,-95.586199,20.752447,0.195626026,278.1818182,0.027840486,-0.193634835,-95.55835851,20.55881217
9,18,4,MORENA,-95.586199,20.752447,0.586878077,294.5454545,0.243797964,-0.533843077,-95.34240104,20.21860392
9,19,4,PAN,-95.586199,20.752447,0.391252052,310.9090909,0.256215606,-0.295688572,-95.32998339,20.45675843
9,20,4,PT,-95.586199,20.752447,0.586878077,327.2727273,0.493713256,-0.317290244,-95.09248574,20.43515676
9,21,4,MORENA,-95.586199,20.752447,0.391252052,343.6363636,0.375403594,-0.110228441,-95.21079541,20.64221856
9,22,4,MORENA,-95.586199,20.752447,0.195626026,360,0.195626026,3.00E-16,-95.39057297,20.752447
10,1,1,MORENA,-104.9133986,24.9236104,0.431332958,90,2.64E-17,0.431332958,-104.9133986,25.35494336
10,2,1,PT,-104.9133986,24.9236104,0.215666479,180,-0.215666479,2.64E-17,-105.1290651,24.9236104
10,3,1,PVEM,-104.9133986,24.9236104,0.431332958,270,-7.93E-17,-0.431332958,-104.9133986,24.49227744
10,4,1,PAN,-104.9133986,24.9236104,0.215666479,360,0.215666479,-5.28E-17,-104.6977321,24.9236104
11,1,2,PRI,-101.0126144,20.90543204,0.618919278,24,0.565410895,0.25173715,-100.4472035,21.15716919
11,2,2,MORENA,-101.0126144,20.90543204,0.412612852,48,0.276091888,0.306631106,-100.7365225,21.21206315
11,3,2,PAN,-101.0126144,20.90543204,0.206306426,72,0.063752192,0.196209071,-100.9488622,21.10164111
